Missing_Secure,Missing_HttpOnly,Third_Party_Cookie,Insecure_Session,Num_Third_Party_Scripts,Risk_Level
1,1,0,1,5,HIGH
0,0,1,1,0,MEDIUM
1,1,0,1,2,HIGH
1,1,1,0,4,HIGH
1,1,0,0,2,MEDIUM
0,1,0,1,0,MEDIUM
1,1,0,1,0,MEDIUM
0,1,0,1,5,HIGH
0,0,0,0,1,LOW
1,0,1,0,0,MEDIUM
1,1,1,0,5,HIGH
0,0,0,0,3,LOW
0,0,1,0,4,MEDIUM
0,0,1,1,5,HIGH
0,1,1,0,2,MEDIUM
0,0,0,0,4,MEDIUM
1,0,1,0,2,MEDIUM
0,0,0,0,0,LOW
1,0,0,1,3,HIGH
0,1,0,1,3,MEDIUM
0,0,0,0,0,LOW
0,1,0,0,3,MEDIUM
1,0,1,1,1,HIGH
0,0,0,0,1,LOW
0,0,0,0,3,LOW
0,1,1,1,1,MEDIUM
0,0,0,1,4,MEDIUM
0,1,1,0,2,MEDIUM
1,1,1,1,1,HIGH
0,1,0,1,2,MEDIUM
1,1,1,0,2,MEDIUM
0,0,1,0,5,MEDIUM
0,0,0,0,4,MEDIUM
1,0,1,0,2,MEDIUM
0,1,1,1,2,HIGH
0,1,1,0,1,MEDIUM
0,1,1,0,1,MEDIUM
0,0,0,1,5,HIGH
1,0,1,1,0,MEDIUM
1,0,0,1,5,HIGH
1,0,0,0,2,MEDIUM
1,0,1,0,1,MEDIUM
0,0,0,0,5,MEDIUM
1,1,1,0,5,HIGH
1,0,0,1,3,HIGH
0,0,0,0,0,LOW
1,1,0,0,2,MEDIUM
0,1,0,0,1,LOW
1,1,0,0,0,LOW
0,1,0,1,3,MEDIUM
0,0,0,0,0,LOW
0,0,1,0,0,LOW
1,0,0,1,5,HIGH
0,0,1,1,0,MEDIUM
0,0,1,0,3,MEDIUM
1,1,0,1,4,HIGH
0,1,1,1,5,HIGH
1,0,1,1,1,HIGH
1,1,0,0,3,MEDIUM
0,0,1,1,1,MEDIUM
0,1,0,1,4,HIGH
0,0,1,0,0,LOW
1,0,1,1,1,HIGH
0,0,0,0,3,LOW
1,1,1,1,2,HIGH
0,1,1,1,3,HIGH
0,1,1,0,1,MEDIUM
0,1,1,1,4,HIGH
1,0,0,1,4,HIGH
0,1,1,0,4,MEDIUM
1,0,1,0,5,HIGH
0,0,0,0,1,LOW
0,1,0,1,0,MEDIUM
1,0,0,1,1,MEDIUM
1,1,0,0,5,HIGH
